patentNumber,applicationNum,familyID,applicationDate,granted,grantDate,cpcClass,publicationItems,publicationDate,priorityNumber,language,ipc,title,abstract
EP1052247,EP00109095,7908168,"Wed, 03 May 2000",1,"Wed, 16 Apr 2003",C07C 239/10,"['EP 1052247 A1', 'EP 1052247 B1']","Wed, 15 Nov 2000",DE/19922405,de,"['B01J 31/02', 'C07B 61/00', 'C07C 239/10']",Process for the preparation of (4-Nitrosophenyl)phenylhydroxylamine,"Die vorliegende Erfindung betrifft ein Verfahren zur Herstellung von 4-Nitrosophenyl)-phenylhydroxylamin, das dadurch gekennzeichnet ist, daß man Nitrobenzol in Gegenwart von hydroxid- und/oder oxidhaltigen Basen gegebenenfalls in Anwesenheit von Lösungsmitteln bei Temperaturen von 20 bis 180°C und Drücken von 0,1 bis 10 bar umsetzt.

Das erfindungsgemäße Verfahren hat insbesondere den Vorteil, daß es von dem wohlfeilen und preisgünstigen Nitrobenzol ausgeht, statt wie bisher üblich von Nitrosobenzol."
EP1053998,EP00109114,7908275,"Thu, 04 May 2000",1,"Wed, 09 Apr 2003",C07C 263/20,"['EP 1053998 A1', 'EP 1053998 B1']","Wed, 22 Nov 2000",DE/19922572,de,"['C07C 263/20', 'C07C 265/04', 'C07C 265/08', 'C07C 265/12', 'C07C 265/14']",Process for the purification of organic isocyanates,Die Erfindung betrifft ein neues Verfahren zur Reinigung von organischen Isocyanaten oder Isocyanatgemischen durch Vermischen der Isocyanate oder Isocyanatgemische mit Alkoholen und/oder Thiolen oder Gemischen von Alkoholen und/oder Thiolen und gegebenenfalls gleichzeitiger oder anschließender Entgasung und/oder destillativer und/oder extraktiver Aufarbeitung der so enthaltenden Gemische.
EP1053992,EP00109146,7908314,"Fri, 05 May 2000",0,,C07C 51/285,EP 1053992 A1,"Wed, 22 Nov 2000",DE/19922643,de,"['B01J 31/26', 'C07B 61/00', 'C07C 51/285', 'C07C 53/16']","Fabrication d'acides alpha, omega-dicarboxyliques aliphatiques","Die vorliegende Erfindung betrifft ein Verfahren zur Herstellung von aliphatischen C4-C18-α,ω-Dicarbonsäuren aus C6-C20-α,ω-Dienen mit Wasserstoffperoxid oder Verbindungen, die unter den Reaktionsbedingungen Wasserstoffperoxid freisetzen. Die Reaktion wird in Gegenwart von Übergangsmetallkatalysatoren der Gruppe VI und einer Mischung, welche mindestens eine organische Säure und mindestens ein aprotisches organisches Lösungsmittel enthält durchgeführt."
EP1054045,EP00110125,7908568,"Wed, 10 May 2000",0,,C09D 11/32,EP 1054045 A1,"Wed, 22 Nov 2000",DE/19923072,de,"['B41J 2/01', 'B41M 5/00', 'C08L 71/10', 'C09B 67/20', 'C09D 11/32', 'C09D 17/00', 'C09K 23/20', 'C09K 23/42', 'C09K 23/52']",Pigment preparations for ink-jet printing,"Es wurden Pigmentpräparationen gefunden, enthaltend

a) wenigstens ein organisches Pigment oder Ruß
b) wenigstens einen gegebenenfalls ionisch modifizierten Phenol-Styrol-Polyglykolether und
c) wenigstens ein oberflächenaktives Mittel (Tensid) aus der Gruppe der oxalkylierten Acetylenglykole gemäß der Formel (I)
 und/oder aus der Gruppe der Verbindungen der Formel II, III oder IV

 worin

die Substituenten die in der Beschreibung angegebene Bedeutung besitzen.

"
EP1055717,EP00110167,7909223,"Fri, 12 May 2000",0,,"['B32B 27/40', 'C08J 5/12', 'C09J 175/08']","['EP 1055717 A2', 'EP 1055717 A3']","Wed, 29 Nov 2000",DE/19924092,de,"['B32B 27/40', 'C08G 18/06', 'C08J 5/12', 'C09J 175/08']","Adhesion-stable composite material comprising polyurethane and a further thermoplastic material, a method for its manufacture and its use in vehicles","Die Erfindung betrifft Verbundmaterialien aus wenigstens einer Verbundschicht aus Polyurethan und einer damit direkt verbundenen Verbundschicht aus einem von A) unterschiedlichen thermoplastischen Kunststoff, wobei das Polyurethan der Schicht A) einen Restgehalt von freien Ethergruppen-haltigen Reaktionskomponenten von höchstens 400 ppm, vorzugsweise ≤ 100 ppm, aufweist. Weiterhin betrift die Erfindung eine Verfahren zur Herstellung dieser Verbundmaterialien sowie dessen Verwendung als Werkmaterial in Kraftfahrzeugen."
EP1055691,EP00110186,7909220,"Mon, 15 May 2000",1,"Wed, 09 Apr 2003","['C08G 18/0895', 'C08G 18/664']","['EP 1055691 A2', 'EP 1055691 A3', 'EP 1055691 B1']","Wed, 29 Nov 2000",DE/19924089,de,"['B29C47-00', 'C08G 18/08', 'C08G 18/65', 'C08G 18/66', 'C08J 5/00']",Method for the continous preparation of thermoplastically processible polyurethanes,"Verfahren zur kontinuierlichen Herstellung thermoplastisch verarbeitbarer Polyurethanelastomere mit verbessertem Erweichungsverhalten, aus einem Polyisocyanat, einem Polyol und einem Kettenverlängerer, die eine Temperatur von mindestens 170°C aufweisen, in einem Statikmischer, wobei die hergestellte Reaktionsmischung anschließend in einen Extruder dosiert wird, in den gegebenenfalls Hilfsstoffe und/oder weitere Komponenten gegeben werden."
EP1057860,EP00110297,7910255,"Wed, 24 May 2000",1,"Wed, 04 Aug 2004",C08K 5/39,"['EP 1057860 A1', 'EP 1057860 B1']","Wed, 06 Dec 2000",DE/19925633,de,"['B60C 1/00', 'C08J 5/00', 'C08K 3/06', 'C08K 3/36', 'C08K 5/39', 'C08K 5/40', 'C08L 21/00', 'C08L 25/10', 'C08L 9/00']",Compositions de caoutchouc diénique pour objets moulés améliorés en caoutchouc,"Die Erfindung betrifft vulkanisierbare Dienkautschukmischungen mit hoher Variationsmöglichkeit bei der Schwefeldosierung unter Erhalt der Verarbeitungssicherheit für die Herstellung von verbesserten Gummi-Formkörpern, insbesondere Reifenbauteilen."
EP1061160,EP00111086,7911521,"Mon, 05 Jun 2000",0,,"['C30B 15/007', 'C30B 15/206', 'C30B 15/34', 'C30B 29/06', 'H01L 31/18', 'H01L 31/182']",EP 1061160 A1,"Wed, 20 Dec 2000",DE/19927604,de,"['C01B 33/02', 'C30B 15/00', 'C30B 15/34', 'C30B 29/16', 'C30B 29/64', 'H01L 21/208', 'H01L 31/04']","Silicium mit struktierter Sauerstoffdotierung, dessen Herstellung und Verwendung","Die vorliegende Erfindung betrifft Silicium mit einem hohen Sauerstoffgehalt und zugleich einer hohen Dichte an Kristallgitterversetzungen und dessen Herstellung. Dieses Silicium kann in der Photovoltaik eingesetzt werden. Solarzellen, die auf dem erfindungsgemäßen Material basieren, weisen trotz des hohen Sauerstoffgehalts gute Wirkungsgrade auf."
EP1063251,EP00111894,7912458,"Tue, 13 Jun 2000",1,"Wed, 15 Oct 2003","['C08G 18/0895', 'C08G 18/4277', 'C08G 18/664', 'C08G 18/798']","['EP 1063251 A1', 'EP 1063251 B1']","Wed, 15 Oct 2003",DE/19929064,de,"['C08G 18/08', 'C08G 18/42', 'C08G 18/66', 'C08G 18/79', 'C08G 18/80']",Process of preparation of polyaddition compounds containing uretdione groups,
EP1063243,EP00111927,4163664,"Thu, 15 Jun 2000",0,,"['C08F 210/16', 'C08F 210/18', 'C08F 232/08', 'C08F 236/20']","['EP 1063243 A2', 'EP 1063243 A3']","Wed, 27 Dec 2000",CA/2276282,en,"['C08F 10/00', 'C08F 210/16', 'C08F 210/18', 'C08F 232/08', 'C08F 236/20', 'C08F 4/645', 'C08F 4/646', 'C08F 4/656', 'C08F 4/659', 'C08F 4/6592', 'C08F 4/68', 'C08F 4/70']",Olefin polymerization process and catalyst system therefor,"A novel olefin polymerization process and catalyst system are described. The catalyst system comprises: a transition metal compound, an organometallic compound and a dendrimeric compound. The invention is particularly suitable for slurry polymerization of olefin monomers to produce a polymer having advantageous and desirable properties."
EP1063259,EP00111928,7912665,"Thu, 15 Jun 2000",0,,"['C08K 5/548', 'C08L 19/003', 'C08L 21/00', 'C08L 9/08']",EP 1063259 A1,"Wed, 27 Dec 2000",DE/19929347,de,"['B60C 1/00', 'C08J 5/00', 'C08K 5/548', 'C08L 19/00', 'C08L 21/00']",Compositions de caoutchouc contenant des microgels à base de caoutchouc et des composés organosiliciques contenant du soufre,"Die vorliegende Erfindung betrifft Kautschukmischungen aus mindestens einem doppelbindungshaltigen Kautschuk, mindestens einem Kautschukgel und mindestens einer schwefelhaltigen Organosiliziumverbindung. Aus den erfindungsgemäßen Kautschukmischungen können Vulkanisate hergestellt werden, die insbesondere zur Herstellung von Reifenlaufflächen dienen."
EP1067129,EP00113067,7913788,"Mon, 26 Jun 2000",1,"Wed, 27 Aug 2003",C07D 471/04,"['EP 1067129 A1', 'EP 1067129 B1']","Wed, 10 Jan 2001",DE/19931115,de,"['C07B 55/00', 'C07B 61/00', 'C07D 471/04', 'C07D 487/04']","La racemisation de la R,S-dioxo-benzylpyrrolopipéridine","Cis-R-Dioxo-benzylpyrrolopiperidin wird in besonders vorteilhafter Weise racemisiert, wenn man es mit einem Unterschuss an Base vorzugsweise bei Temperaturen unter 40°C behandelt."
EP1170367,EP00113088,8169027,"Tue, 27 Jun 2000",0,,"['A61P 31/12', 'C07K 14/005', 'C12N 7/00']",EP 1170367 A1,"Wed, 09 Jan 2002",,en,"['A61K 39/15', 'A61P 31/12', 'C07K 14/18', 'C12N 15/09', 'C12N15-40', 'C12N5-02', 'C12N 7/00', 'C12N7-01', 'C12N 7/04']",BVDV virus-like particles,"The present invention relates to bovine viral diarrhea virus (BVDV) virus-like particles, a polycistronic RNA and DNA corresponding thereto encoding a polyprotein of BVDV structural proteins that are sufficient to form BVDV virus-like particles, a viral vector encoding factors and structural proteins for the assembly of BVDV virus-like particles, a vaccine comprising BVDV virus-like particles, a diagnostic kit and methods for preparing BVDV virus-like particles."
EP1069143,EP00114007,7914936,"Tue, 04 Jul 2000",1,"Wed, 21 May 2003","['C08G 18/0895', 'C08G 18/6607', 'C08G 18/664', 'C08G 18/721']","['EP 1069143 A2', 'EP 1069143 A3', 'EP 1069143 B1']","Wed, 17 Jan 2001",DE/19933261,de,"['C08G 18/08', 'C08G 18/40', 'C08G 18/42', 'C08G 18/44', 'C08G 18/66', 'C08G 18/72', 'C08G 18/73', 'C08J 5/18', 'C08L 75/04']","Films polyuréthane souples élastiques, leur procédé de préparation et leur utilisation","Die Erfindung betrifft weiche, elastische Polyurethanfolien mit verbesserten Eigenschaften, die durch Sintern von pulverförmigen thermoplastischen Polyurethanen mit Hilfe eines temperierten Formwerkzeugs hergestellt werden, Verfahren zu ihrer Herstellung und ihre Verwendung."
EP1070718,EP00114075,7915313,"Fri, 07 Jul 2000",1,"Wed, 05 Mar 2003",C07F 3/02,"['EP 1070718 A1', 'EP 1070718 B1']","Wed, 05 Mar 2003",DE/19933833,de,"['C07B 49/00', 'C07C 45/45', 'C07C 47/56', 'C07F 3/02', 'C07F 5/04', 'C07F 7/08']",Method for Preparing Grignard Reagents and new Grignard Reagents,
EP1070735,EP00114076,7914874,"Fri, 07 Jul 2000",0,,C08J 3/124,EP 1070735 A1,"Wed, 24 Jan 2001",DE/19933152,de,"['B29B 9/16', 'C08J 3/12']",Elastomères granulés à écoulement facile,"Die Erfindung betrifft ein Verfahren zur Herstellung von polaren, rieselfähigen Kautschukgranulaten mit Hilfe von an der Oberfläche hydrophobierten Pudermitteln."
EP1077232,EP00116204,7918128,"Thu, 03 Aug 2000",0,,"['C08L 67/02', 'C08L 77/00', 'C08L 77/02', 'C08L 77/06', 'C08L 77/08']","['EP 1077232 A2', 'EP 1077232 A3']","Wed, 21 Feb 2001",DE/19938166,de,"['C08L 67/02', 'C08L 77/00', 'C08L 77/02', 'C08L 77/06', 'C08L 77/08']",Blend of polyalkylene terephthalate and polyamide,"Die vorliegende Erfindung betrifft Polyamid/Polyalkylenterephthalat-Blends, die verbesserte elektrische Eigenschaften aufweisen."
EP1077222,EP00116218,7918592,"Fri, 04 Aug 2000",0,,C08F 8/34,EP 1077222 A1,"Wed, 21 Feb 2001",DE/19938859,de,"['C08F 210/12', 'C08F 210/18', 'C08F 8/34']",Caoutchoucs fonctionnalisés à faible insaturation,"Die vorliegende Erfindung betrifft funktionalisierte doppelbindungsarme Isoolefin- und EPDM-Kautschuke mit einem Gehalt an Doppelbindungen von 0,001 bis 10 Gew.-% und einem Gehalt an hydrolysestabilen und nicht über Benzylgruppen gebundenen funktionellen Gruppen von 0,01 bis 25 Gew.-%, wobei die funktionellen Gruppen die Struktur 

        -Sn - R

besitzen. Die erfindungsgemäßen funktionalisierten doppelbindungsarmen Isoolefin- und EPDM-Kautschuke lassen sich in einfacher Weise durch Umsetzung entsprechender doppelbindungsarmer Kautschuke mit Sulfenylchloriden herstellen und eignen sich insbesondere zur Herstellung von Klebstoffen, Dichtstoffen, Lacken, Vulkanisaten und als Kautschukkomponente in Kautschuk/Kunststoff-Blends."
EP1078943,EP00116282,7919269,"Thu, 10 Aug 2000",0,,"['C08G 18/3206', 'C08G 18/672', 'C08G 18/724']","['EP 1078943 A2', 'EP 1078943 A3']","Wed, 28 Feb 2001",DE/19939843,de,"['C08F 2/46', 'C08F 299/06', 'C08G 18/32', 'C08G 18/67', 'C08G 18/72', 'C09D 167/04', 'C09D 175/04', 'C09D 175/16', 'C09D4-02', 'C09D 5/00', 'C09D 5/03']",Binder for powder coating containing (meth)acryloxylgroups containing oligo-and polyurethanes,"Die Erfindung betrifft neue pulverförmige Bindemittel aus bestimmten (Meth)Acryloylgruppen aufweisenden Oligo- und Polyurethanen, die nach Applikation auf ein Substrat und Aufschmelzen durch Wärme mittels energiereicher Strahlung insbesondere UV-Strahlung gehärtet werden, ein Verfahren zu deren Herstellung sowie ihre Verwendung als Bestandteil von Pulverlacken."
EP1078939,EP00116283,7919268,"Thu, 10 Aug 2000",0,,"['C08F 212/04', 'C08F 236/10', 'C08F 4/545']","['EP 1078939 A2', 'EP 1078939 A3']","Wed, 28 Feb 2001",DE/19939842,de,"['B60C 1/00', 'C08F 2/06', 'C08F 212/04', 'C08F 236/00', 'C08F 236/10', 'C08F 4/54', 'C08F 4/609', 'C08F 4/72']",Process for copolymerisation of conjugated dienes and vinylaromatic monomers in presence of a catalyst containing a rare earth and the use of the copolymerisate in a rubber composition for a tire,Die vorliegende Erfindung betrifft ein Verfahren zur Copolymerisation von konjugierten Diolefinen und vinylaromatischen Monomeren in Gegenwart von Katalysatoren der Seltenen Erden sowie die Verwendung der Copolymerisate in Kautschukmischungen für Reifenanwendungen.
EP1078940,EP00117245,7925568,"Mon, 14 Aug 2000",0,,"['B01J 39/20', 'C08F 257/02']",EP 1078940 A1,"Wed, 28 Feb 2001",DE/19949465,de,"['B01J 39/20', 'C08F 2/18', 'C08F 212/08', 'C08F 257/02', 'C08F 8/12', 'C08F 8/36']","Beads of styrene, phenol derivatives and crosslinker, products of their hydrolysis and sulfonation","Die Erfindung betrifft Perlpolymerisate aus Styrol, Phenolestern, weiteren Monomeren und Vernetzern und ihre Hydrolyse- und Sulfonierungsprodukte, ein Verfahren zu ihrer Herstellung sowie die Verwendung der Sulfonierungsprodukte als Kationenaustauscher."
EP1078941,EP00117246,7925567,"Mon, 14 Aug 2000",0,,"['B01J 39/20', 'C08F 212/08', 'C08F 257/02', 'C08F 8/36']",EP 1078941 A1,"Wed, 28 Feb 2001",DE/19949464,de,"['B01J 39/20', 'C08F 2/18', 'C08F 212/08', 'C08F 257/02', 'C08F 4/04', 'C08F 8/36', 'C08J 5/20']","Polymères de styrène, vinyl pyridine et réticulant en forme de perles","Die Erfindung betrifft sulfonierte Perlpolymerisate aus Styrol, Vinylpyridinen, weiteren Monomeren und Vernetzern, ein Verfahren zu ihrer Herstellung sowie die Verwendung als Kationenaustauscher."
EP1078914,EP00117274,7919913,"Wed, 16 Aug 2000",0,,C07C 201/12,EP 1078914 A1,"Wed, 28 Feb 2001",DE/19940861,de,"['B01J 31/28', 'C07B 61/00', 'C07C 201/12', 'C07C 205/12']",Process for the preparation of 2-chloro-4-nitroalkylbenzene,"Es wird ein Verfahren zur Herstellung von 2-Chlor-4-nitroalkylbenzolen bereitgestellt, das eine Kernchlorierung von 4-Nitroalkylbenzolen mit elementarem Chlor oder Chlor abgebenden Verbindungen in flüssiger Phase in Gegenwart von Friedel-Crafts-Katalysatoren und speziellen schwefelhaltigen aromatischen Verbindungen als Co-Katalysatoren umfasst."
EP1081168,EP00117296,7920220,"Fri, 18 Aug 2000",0,,C08F 236/10,"['EP 1081168 A2', 'EP 1081168 A3']","Wed, 07 Mar 2001",DE/19941314,de,"['C08F 236/10', 'C08F 4/48', 'C08F 4/56']",Process for the preparation of a copolymer based on vinyl aromatic monomers and conjugated diene monomers and use of vulcanisates thereof having excellent damping,"Nach dem erfindungsgemäßen Verfahren werden Copolymerisate auf Basis von vinylaromatischen Verbindungen und konjugierten Dienen mit einem mittleren Molekulargewicht (Mn) von 50 000 bis 600 000 g/mol, einem Gehalt an vinylaromatischer Verbindung von 5 bis 50 Gew.-% sowie einem Gehalt an konjugiertem Dien von 50 bis 95 Gew.-%, in dem man eine vinylaromatische Verbindung mit einem konjugierten Dien in Gegenwart eines lithiummetallhaltigen Initiators umsetzt, wobei man die Polymerisation so steuert, daß die Dämpfung im Glasprozeß einen Frequenzbereich umfaßt, welcher dadurch gekennzeichnet ist, daß die Halbwertsbreite des Maximums des Verlustfaktors tan δ größer 3 Frequenzdekaden beträgt."
EP1081128,EP00117380,7920915,"Thu, 24 Aug 2000",1,"Wed, 16 Apr 2003","['B01J 31/0212', 'B01J 31/24', 'B01J 31/2404', 'B01J 31/2409', 'B01J 31/2452', 'B01J 31/26', 'C07C 209/10']","['EP 1081128 A1', 'EP 1081128 B1']","Wed, 07 Mar 2001",DE/19942394,de,"['B01J 31/24', 'B01J 31/26', 'C07B 61/00', 'C07C 209/10', 'C07C 211/56']",Process for the preparation of nitrodiphenylamines,"Die Erfindung betrifft ein Verfahren zur Herstellung von Nitrodiphenylaminen durch Umsetzung von Nitrohalogenbenzolen mit aromatischen Aminen in Gegenwart eines Palladiumkataysators und einer Base, wobei man die Base vor ihrem Einsatz mahlt und/oder trocknet."
EP1081134,EP00117381,7920916,"Thu, 24 Aug 2000",0,,"['C07C 319/24', 'C08G 75/14']",EP 1081134 A1,"Wed, 07 Mar 2001",DE/19942395,de,"['C07B 61/00', 'C07C 319/24', 'C07C 323/52', 'C08G 75/14']",Process for the production of polythiopolycarboxylic acids,"Polythiopolycarbonsäuren mit einem höheren Gehalt an gebundenem Schwefel können gemäß einem einfachen Verfahren ohne den Erhalt von unerwünschten Abfallprodukten, wie Salzsäure und Kochsalz, in hoher Reinheit hergestellt werden, indem man Mercaptoalkylcarbonsäuren mit Schwefel bei erhöhter Temperatur umsetzt."
EP1083197,EP00117399,7921130,"Fri, 25 Aug 2000",0,,"['C08K 5/098', 'F16C 13/00']","['EP 1083197 A2', 'EP 1083197 A3']","Wed, 14 Mar 2001",DE/19942743,de,"['B29B 7/18', 'C08J 3/20', 'C08J 5/00', 'C08J 5/10', 'C08K 5/098', 'C08K 5/101', 'C08K 9/12', 'C08L 9/02', 'F16C 13/00']",Composition de caoutchouc pour revêtement de rouleaux,"Die Erfindung betrifft eine Kautschukmischung enthaltend einen Nitrilkautschuk, ein Metallsalz eines Acrylates, ein flüssiges Acrylat sowie gegebenenfalls weitere Additive, ein Verfahren zu deren Herstellung und die Verwendung für Formkörper aller Art, insbesondere Walzenbeläge."
EP1083200,EP00117400,7921060,"Fri, 25 Aug 2000",0,,C08K 5/372,"['EP 1083200 A2', 'EP 1083200 A3']","Wed, 14 Mar 2001",DE/19942620,de,"['C08K 3/00', 'C08K 5/00', 'C08K 5/36', 'C08K 5/372', 'C08L 21/00']",Composition de caoutchouc à base de microgel contenant un mercaptan bifonctionnel masqué ainsi que les produits vulcanisés dérivés de cette composition,"Die Erfindung betrifft Kautschukmischungen aus mindestens einem doppelbindungshaltigen Kautschuk, mindestens einem Kautschukgel und mindestens einem verkappten Bismercaptan sowie daraus hergestellte Vulkanisate und Kautschukformkörper.

Die aus den erfindungsgemäßen Kautschukmischungen hergestellten Vulkanisate weisen eine Verbesserung des Modulniveaus, eine Reduktion des DIN-Abriebs sowie eine Reduktion des heat-build-ups bei dynamischer Beanspruchung auf."
EP1083169,EP00118124,26054862,"Mon, 28 Aug 2000",1,"Wed, 29 Oct 2003","['C07D 211/46', 'C07D 211/58', 'C08F 4/00']","['EP 1083169 A1', 'EP 1083169 B1']","Wed, 14 Mar 2001",DE/19942614,de,"['C07B 61/00', 'C07D 211/00', 'C07D 211/40', 'C07D 211/46', 'C07D 211/58', 'C07D 211/94', 'C08F 12/00', 'C08F 2/38', 'C08F 20/00', 'C08F 4/00', 'C09D 157/00', 'C09J 157/00']",Functionalized alkoxyamine initiators,"Die Erfindung betrifft ein neues Verfahren zur Herstellung funktionalisierter Alkoxyamin-Initiatoren, neue, nach diesem Verfahren hergestellte Alkoxyamin-Initiatoren auf (Meth)-acrylat-Basis, sowie ihre Verwendung zur Herstellung von Polymeren."
EP1061066,EP00118137,7775170,"Mon, 07 Oct 1996",0,,"['A01N 43/82', 'C07C 69/734', 'C07D 285/08', 'C07D 309/12']","['EP 1061066 A2', 'EP 1061066 A3']","Wed, 20 Dec 2000",DE/19538790,de,"['A01N 43/82', 'A01N43-836', 'C07C 69/734', 'C07D 285/08', 'C07D 307/12', 'C07D 309/12', 'C07D 417/04']","Dérivés d'acide fluorométhoxyacrylique, intermédiaires dans la préparation de pesticides","Verbindungen der Formel (II),
 in welcher

Q1für Methoxy oder Ethoxy steht,
 sind Zwischenprodukte in der Herstellung von pestiziden Thiadiazolderivaten."
EP1085072,EP00118248,7922075,"Mon, 04 Sep 2000",0,,"['C08G 73/1092', 'C08L 77/00', 'C08L 79/08', 'C09J 177/04', 'C09J 179/08', 'C09J 191/06', 'C09J 193/04']","['EP 1085072 A2', 'EP 1085072 A3']","Wed, 21 Mar 2001",DE/19944159,de,"['C08G 73/10', 'C08L 101/16', 'C09J 177/04', 'C09J 179/08', 'C09J 191/06', 'C09J 193/00', 'C09J 193/04']",Adhésif biodégradable à faible taux d'émission,"Die vorliegende Erfindung betrifft wasserlösliche, emissionsarme Klebstoffmischungen auf Basis von Polyasparaginsäure oder ihrer Salze und/oder Derivate und natürlichen Klebharzen sowie deren Verwendungen."
EP1083361,EP00119249,7921348,"Wed, 06 Sep 2000",1,"Wed, 21 Sep 2005","['F16F 15/167', 'F16F 9/53']","['EP 1083361 A1', 'EP 1083361 B1']","Wed, 14 Mar 2001",DE/19943085,de,"['F16F 15/167', 'F16F 9/53']",Amortisseur de vibrations de torsion,"Es wird ein Torsionsschwingungsdämpfer vorgeschlagen, dessen Dämpfungskammer (6,7,8) mit einer elektro- und/oder magnetorheologischen Flüssigkeit gefüllt ist, wobei der Dämpfungskammer elektrische und/oder magnetische Mittel zugeordnet sind. Die Dämpfungskräfte können dabei durch einen Verdrängungskörper oder aber auch durch einen Strömungskörper erzeugt werden."
EP1095952,EP00122214,7927112,"Mon, 16 Oct 2000",0,,"['C08F 36/00', 'C08F 4/52', 'C08F 4/58']",EP 1095952 A1,"Wed, 02 May 2001",DE/19951841,de,"['C08F 36/00', 'C08F 4/52', 'C08F 4/54', 'C08F 4/58', 'C08F 4/606', 'C08K 3/34', 'C08K 5/098', 'C08K 5/5425', 'C08K 5/56', 'C08L 21/00']",Catalyseur à base d'assemblages de métaux rares,"Die vorliegende Erfindung besteht aus einem Katalysator auf Basis von Verbindungen der Seltenen Erdmetalle, bestehend aus einer Verbindung der Seltenen Erdmetalle, einer organischen Aluminium-Verbindung und einem Trihalogensilan, ein Verfahren zu dessen Herstellung sowie die Verwendung des Katalysators für die Polymerisation von konjugierten Dienen.

Mit Hilfe des erfindungsgemäßen Katalysators können konjugierte Diene in hohen Raum-Zeit-Ausbeuten zu hochmolekularen Polybutadienen polymerisiert werden."
EP1099682,EP00123373,7928768,"Tue, 31 Oct 2000",1,"Wed, 04 Jun 2003",C07C 201/00,"['EP 1099682 A1', 'EP 1099682 B1']","Wed, 04 Jun 2003",DE/19954397,de,"['C07B 61/00', 'C07C 201/00', 'C07C 201/06', 'C07C 205/06', 'C07C 207/02', 'C07C 207/04']",Process for the preparation of nitrosobenzenes,
EP1099683,EP00123374,7928767,"Tue, 31 Oct 2000",1,"Wed, 04 Jun 2003",C07C 201/00,"['EP 1099683 A1', 'EP 1099683 B1']","Wed, 04 Jun 2003",DE/19954396,de,"['B01J 23/28', 'C07B 61/00', 'C07C 201/00', 'C07C 207/02', 'C07C 207/04']",Process for the preparation of nitrosobenzenes,
EP1203588,EP00123451,8170223,"Mon, 06 Nov 2000",0,,A61K 38/204,EP 1203588 A1,"Wed, 08 May 2002",,en,A61K 38/19,Régulation stérol-indépendante du promoteur ABC1 par l' oncostatineM,"The ATP-binding cassette transporter-1 (ABC1) was recently identified as the defective gene in genetic high density lipoprotein (HDL) -deficiency syndromes. These are characterized by a defect in cellular cholesterol removel through the Golgi pathway and the almost complete absence of plasma HDL cholesterol. ABC1 shows a differentiation-, cAMP- and sterol dependent upregulation in human monocytes. The object of the present invention was to identify non-cholesterol derivatives as mediators of ABC1 gene expression."
EP1101794,EP00124208,7929892,"Thu, 09 Nov 2000",0,,"['B60C 1/0016', 'C08J 3/212', 'C08K 9/04', 'C08L 13/00', 'C08L 15/00', 'C08L 19/006', 'C08L 21/00']",EP 1101794 A1,"Wed, 23 May 2001",DE/19956097,de,"['B60C 1/00', 'C08J 3/20', 'C08J 3/21', 'C08K 3/20', 'C08K 3/34', 'C08K 9/04', 'C08L 13/00', 'C08L 15/00', 'C08L 19/00']",Kautschukmischungen aus hydroxyl- und/oder carboxylgruppenhaltigen Kautschuken und hydrophobierten oxidischen oder silikatischen Füllstoffen,"Die erfindungsgemäßen Kautschukmischungen, bestehend aus einem Kautschuk, der einen Gesamtgehalt an Hydroxyl- und/oder Carboxylgruppen von 0,1 bis 3 Gew. % aufweist, und 5 bis 500 Gew. Teilen, bezogen auf 100 Gew. Teile Kautschuk, hydrophobierten oxidischen und/oder silikatischen Füllstoff sowie gegebenenfalls weiteren Kautschuken, Kautschukhilfsmitteln und Vernetzern, eignen sich zur Herstellung von Kautschukvulkanisaten mit verbesserten physikalischen Eigenschaften, insbesondere mit verbessertem dynamischem Dämpfungsverhalten, verringertem Abrieb und verbessertem Nassrutschverhalten."
